Treatment,Species,Light_Level,Replicate,Experimental_Day,Cells/mL
Colp,Colp,200,C,19,1280
Colp,Colp,50,A,4,1125
Colp,Colp,50,B,4,1800
Colp,Colp,50,C,4,1735
Colp,Colp,100,A,4,1585
Colp,Colp,100,B,4,1715
Colp,Colp,100,C,4,1565
Colp,Colp,0,A,21,1620
Colp,Colp,0,B,21,1620
Colp,Colp,0,C,21,1440
Colp,Colp,200,A,21,900
Colp,Colp,200,B,21,1300
Colp,Colp,200,C,21,1320
Colp,Colp,50,A,6,2360
Colp,Colp,50,B,6,2060
Colp,Colp,50,C,6,2000
Colp,Colp,100,A,6,1880
Colp,Colp,100,B,6,1740
Colp,Colp,100,C,6,2120
Colp,Colp,0,A,24,1680
Colp,Colp,0,B,24,1500
Colp,Colp,0,C,24,1120
Colp,Colp,200,A,24,580
Colp,Colp,200,B,24,860
Colp,Colp,200,C,24,780
Colp,Colp,50,A,9,2740
Colp,Colp,50,B,9,2480
Colp,Colp,50,C,9,2240
Colp,Colp,100,A,9,2000
Colp,Colp,100,B,9,1500
Colp,Colp,100,C,9,1860
Colp,Colp,0,A,28,1100
Colp,Colp,0,B,28,840
Colp,Colp,0,C,28,860
Colp,Colp,200,A,28,35
Colp,Colp,200,B,28,240
Colp,Colp,200,C,28,110
Colp,Colp,50,A,13,2100
Colp,Colp,50,B,13,2200
Colp,Colp,50,C,13,2220
Colp,Colp,100,A,13,1800
Colp,Colp,100,B,13,2240
Colp,Colp,100,C,13,1620
Colp,Colp,0,A,32,520
Colp,Colp,0,B,32,380
Colp,Colp,0,C,32,285
Colp,Colp,200,A,32,8.333333333
Colp,Colp,200,B,32,130
Colp,Colp,200,C,32,26.66666667
Colp,Colp,50,A,17,3060
Colp,Colp,50,B,17,2200
Colp,Colp,50,C,17,1960
Colp,Colp,100,A,17,1700
Colp,Colp,100,B,17,1860
Colp,Colp,100,C,17,2220
Colp,Colp,0,A,37,7
Colp,Colp,0,B,37,104
Colp,Colp,0,C,37,6
Colp,Colp,200,A,37,87.5
Colp,Colp,200,B,37,130
Colp,Colp,200,C,37,30
Colp,Colp,50,A,22,2320
Colp,Colp,50,B,22,1820
Colp,Colp,50,C,22,2300
Colp,Colp,100,A,22,1800
Colp,Colp,100,B,22,1640
Colp,Colp,100,C,22,1900
Colp,Colp,0,A,41,38
Colp,Colp,0,B,41,72
Colp,Colp,0,C,41,56
Colp,Colp,200,A,41,6
Colp,Colp,200,B,41,110
Colp,Colp,200,C,41,13
Colp,Colp,50,A,26,2760
Colp,Colp,50,B,26,960
Colp,Colp,50,C,26,2340
Colp,Colp,0,A,47,55
Colp,Colp,0,B,47,50
Colp,Colp,0,C,47,40
Colp,Colp,200,A,47,5
Colp,Colp,200,B,47,175
Colp,Colp,200,C,47,5
Colp,Colp,50,A,32,1870
Colp,Colp,50,B,32,120
Colp,Colp,50,C,32,2020
Colp,Colp,100,A,32,30
Colp,Colp,100,B,32,15
Colp,Colp,100,C,32,30
Colp,Colp,0,A,49,10
Colp,Colp,0,B,49,75
Colp,Colp,0,C,49,50
Colp,Colp,200,A,49,10
Colp,Colp,200,B,49,115
Colp,Colp,200,C,49,20
Colp,Colp,50,A,34,1360
Colp,Colp,50,B,34,10
Colp,Colp,50,C,34,1840
Colp,Colp,100,A,34,20
Colp,Colp,100,B,34,15
Colp,Colp,100,C,34,20
Colp,Colp,50,A,40,56
Colp,Colp,50,B,40,660
Colp,Colp,50,C,40,1730
Colp,Colp,100,A,40,34
Colp,Colp,100,B,40,50
Colp,Colp,100,C,40,14
Colp,Colp,0,A,60,8
Colp,Colp,0,B,60,20
Colp,Colp,0,C,60,52
Colp,Colp,200,A,60,7
Colp,Colp,200,B,60,165
Colp,Colp,200,C,60,1
Colp,Colp,50,A,46,10
Colp,Colp,50,B,46,1480
Colp,Colp,50,C,46,1140
Colp,Colp,100,A,46,40
Colp,Colp,100,B,46,64
Colp,Colp,100,C,46,23
